filename,width,height,class,xmin,ymin,xmax,ymax
z5047608184592_8697e9fe223fd8a5454e801c8b0d48ea_jpg.rf.9fc7d284a1a1e627caac873484951d98.jpg,640,640,khong_bo_ao_vao_quan,29,355,133,413
z5047608184592_8697e9fe223fd8a5454e801c8b0d48ea_jpg.rf.9fc7d284a1a1e627caac873484951d98.jpg,640,640,khong_bo_ao_vao_quan,309,323,382,362
z5047608184592_8697e9fe223fd8a5454e801c8b0d48ea_jpg.rf.9fc7d284a1a1e627caac873484951d98.jpg,640,640,khong_bo_ao_vao_quan,123,298,185,332
z5047608184592_8697e9fe223fd8a5454e801c8b0d48ea_jpg.rf.9fc7d284a1a1e627caac873484951d98.jpg,640,640,khong_bo_ao_vao_quan,567,263,626,288
z5047608184592_8697e9fe223fd8a5454e801c8b0d48ea_jpg.rf.9fc7d284a1a1e627caac873484951d98.jpg,640,640,khong_bo_ao_vao_quan,276,232,313,254
z5047608184592_8697e9fe223fd8a5454e801c8b0d48ea_jpg.rf.9fc7d284a1a1e627caac873484951d98.jpg,640,640,khong_bo_ao_vao_quan,431,219,475,232
z5047608184592_8697e9fe223fd8a5454e801c8b0d48ea_jpg.rf.9fc7d284a1a1e627caac873484951d98.jpg,640,640,khong_bo_ao_vao_quan,492,210,508,218
z5047608184592_8697e9fe223fd8a5454e801c8b0d48ea_jpg.rf.9fc7d284a1a1e627caac873484951d98.jpg,640,640,khong_bo_ao_vao_quan,623,193,640,211
z5047607257708_d398bdbdebbab2eaf4266e8672e0cb05_jpg.rf.eb7018bd31ad3c11eec06f0bd9635f74.jpg,640,640,khong_bo_ao_vao_quan,294,237,342,275
z5047607190683_ea258ad350d04c1a000e37ebfdeaf49f_jpg.rf.4e13893075b0e7b3c88aad22a1dbaa7d.jpg,640,640,khong_bo_ao_vao_quan,202,257,330,293
z5047607190683_ea258ad350d04c1a000e37ebfdeaf49f_jpg.rf.4e13893075b0e7b3c88aad22a1dbaa7d.jpg,640,640,khong_bo_ao_vao_quan,464,157,586,193
z5047607190683_ea258ad350d04c1a000e37ebfdeaf49f_jpg.rf.4e13893075b0e7b3c88aad22a1dbaa7d.jpg,640,640,khong_bo_ao_vao_quan,342,153,407,180
z5047607190683_ea258ad350d04c1a000e37ebfdeaf49f_jpg.rf.4e13893075b0e7b3c88aad22a1dbaa7d.jpg,640,640,khong_bo_ao_vao_quan,131,205,184,232
z5047608156249_4dd9e4020626f30d20064ee40410d140_jpg.rf.e619e667125fb6b2ea0bae8ac06a498a.jpg,640,640,khong_bo_ao_vao_quan,498,302,543,322
z5047608156249_4dd9e4020626f30d20064ee40410d140_jpg.rf.e619e667125fb6b2ea0bae8ac06a498a.jpg,640,640,khong_bo_ao_vao_quan,84,284,113,310
