filename,Boot,Sandal,Shoe
Shoe-2418-_jpg.rf.489b5058a9cfd178eb747e2e13300903.jpg,0,0,1
boot-4189-_jpg.rf.9f25cd5bfcc05baa0d87066e6b0d9c27.jpg,1,0,0
Shoe-4786-_jpg.rf.f98c5d9ed4001f44f63b8399f2fe043e.jpg,0,0,1
boot-835-_jpg.rf.5b15c4b93d0035382c31d2d910bd8322.jpg,1,0,0
Shoe-2719-_jpg.rf.52479d490c1fb4aae55c53be058c19d2.jpg,0,0,1
Sandal-3181-_jpg.rf.f33d10d137c592239622c1000d8db412.jpg,0,1,0
Shoe-2077-_jpg.rf.07ef83318be633fdc126cbc4117f58f5.jpg,0,0,1
boot-2276-_jpg.rf.1e2d09091c352478a4bbedf64c12d667.jpg,1,0,0
Sandal-1118-_jpg.rf.1cd15044849448d9fd99b5be066fcfeb.jpg,0,1,0
Shoe-913-_jpg.rf.949d3eef497ee3257cd25d04c5a3601c.jpg,0,0,1
Shoe-2189-_jpg.rf.b1258918e131b48f9dac7cced9c01f32.jpg,0,0,1
Sandal-4077-_jpg.rf.0aca69c0ae08ef9c51b6beae74048eef.jpg,0,1,0
boot-847-_jpg.rf.07c3a86095750d8b7431f11b2167fe53.jpg,1,0,0
Shoe-4434-_jpg.rf.dba45e6879677e85281897dfbe413144.jpg,0,0,1
Shoe-1808-_jpg.rf.b1e783888e7283d6d7e6f412cc561c34.jpg,0,0,1
Sandal-3400-_jpg.rf.dbf413f59215537b3def1929b4332f77.jpg,0,1,0
boot-4072-_jpg.rf.545f326b11269e2c8a43b76ad3aadd33.jpg,1,0,0
Shoe-2511-_jpg.rf.3105bfef1039b45aacf6aa32976df39d.jpg,0,0,1
Shoe-168-_jpg.rf.9ce075b3f6ccd267b04f271c12b807db.jpg,0,0,1
Sandal-3350-_jpg.rf.e987725736c083ffb51658b7b1c8bae3.jpg,0,1,0
Shoe-2915-_jpg.rf.9c1f64bee022bb272f9d6d345fd1e33e.jpg,0,0,1
boot-907-_jpg.rf.cf884767be97f22817645e7aabd1ab1a.jpg,1,0,0
Sandal-4764-_jpg.rf.9f1e3cfbb9894c0fcb9bf83114c7f733.jpg,0,1,0
boot-3776-_jpg.rf.c7b8cb8d74f85d507fe23415456faa02.jpg,1,0,0
Sandal-1102-_jpg.rf.253f8e4019e485ae15df6b125c7bc899.jpg,0,1,0
boot-4191-_jpg.rf.1bcc10226b464089f948098d42fc7073.jpg,1,0,0
boot-1839-_jpg.rf.557ee994d25cb10d5f28401a591f7f92.jpg,1,0,0
boot-1086-_jpg.rf.d67a914da09004663e0f1156226410ba.jpg,1,0,0
Sandal-3427-_jpg.rf.efe9eee316d60a4c979d0955af91c451.jpg,0,1,0
boot-3896-_jpg.rf.571c11718177623975d0c65b82fc6786.jpg,1,0,0
Sandal-2302-_jpg.rf.dc718439cc8c13027d354862fd07989d.jpg,0,1,0
Sandal-1325-_jpg.rf.1765c1986c0ab7200e0025b5b6f35dda.jpg,0,1,0
Sandal-1332-_jpg.rf.72cdf7982e7c3310edc2c673fc5ad9e2.jpg,0,1,0
Sandal-2979-_jpg.rf.ce72fb6eadd45bf62d6696f544d7bd9e.jpg,0,1,0
Sandal-2380-_jpg.rf.9a50ae5c471738d0330808c08a1ffa73.jpg,0,1,0
Shoe-3069-_jpg.rf.d6a94436d365d616ecae82d6301fa5b3.jpg,0,0,1
Shoe-3905-_jpg.rf.3bd6fc5cb96a88cb96028207d0c5c288.jpg,0,0,1
Shoe-1874-_jpg.rf.ad906fa1e3e3bbd6016f21caf1e00b8e.jpg,0,0,1
Shoe-3938-_jpg.rf.7b9034d8128e55ab169c35a4f7b518f5.jpg,0,0,1
Sandal-953-_jpg.rf.754af19ad5b65324598f5d0c597599c2.jpg,0,1,0
boot-4301-_jpg.rf.7efed0d4df109939faf399c38aef602a.jpg,1,0,0
Shoe-131-_jpg.rf.ac92458b06bfd38c41c79d94f5c42a05.jpg,0,0,1
Shoe-2415-_jpg.rf.d82f1be3e1de6fa738053a249ab0141f.jpg,0,0,1
boot-1100-_jpg.rf.1713473fa2bd814e1a3e993a16609418.jpg,1,0,0
Sandal-67-_jpg.rf.c4e78f0c3b1723f3a0d548c0282bc1f0.jpg,0,1,0
Shoe-262-_jpg.rf.dffd841e23f95cebd3f2ef0fd2cadae4.jpg,0,0,1
Shoe-1150-_jpg.rf.10e47af1b970fcb7c28960aff21d252e.jpg,0,0,1
boot-1135-_jpg.rf.02a1f9cf2ed3d503869fae09bb4d5533.jpg,1,0,0
Shoe-3515-_jpg.rf.84d7591b5b86c5e19d1e6aafab718fef.jpg,0,0,1
Shoe-2799-_jpg.rf.9d952bffb91a109128e2d8779623ae42.jpg,0,0,1
